Village,Taluka,Area_Acre,Soil_Type,Soil_Quality_Score,Land_Type,Irrigated,Road_Touch,Road_Width_Ft,Distance_To_Highway_KM,Water_Source,Number_Of_Owners,Unknown_Registrations,Takeover_Risk,Avg_Price_Per_Acre_Nearby,Price_Per_Acre
Karanjwan,Niphad,3.15,Black,8,Agricultural,1,1,59,28.9,Borewell,10,4,0,281500,273500
Anandwalli,Nashik,14.55,Red,3,Residential,0,1,17,7.1,Borewell,9,5,0,1028500,949000
Peth,Nashik,15.44,Red,3,Residential,0,1,64,15.2,Canal,4,2,0,1305500,1337500
Jategaon,Sinnar,23.3,Black_Red_Mixed,8,NA,0,1,94,25.8,River,10,5,0,381000,383500
Girnare,Nashik,23.1,Black_Red_Mixed,7,Residential,0,1,66,20.2,Canal,1,0,0,1702500,1745000
Palkhed,Niphad,18.61,Black_Red_Mixed,5,Agricultural,0,1,38,27.1,Canal,2,5,1,157500,159500
Abhona,Niphad,0.52,Black,7,Agricultural,1,1,79,19.4,Well,4,0,1,264500,274000
Wadangali,Sinnar,13.66,Black,7,Agricultural,0,1,24,3.5,None,9,4,0,122500,135000
Pathardi,Nashik,15.04,Red,7,Agricultural,1,1,84,10.1,Well,4,3,0,592000,615500
Waghad,Nashik,3.22,Black,8,Residential,1,0,10,21,Canal,1,0,1,1281000,1187000
Thengode,Niphad,6.39,Black,9,Residential,0,1,43,29,Canal,6,0,0,743500,800000
Khambale,Sinnar,3.23,Black_Red_Mixed,7,Residential,0,1,24,10.5,None,7,4,0,272500,304000
Karanjkhed,Yeola,6.93,Black_Red_Mixed,7,Agricultural,1,0,46,18.5,Borewell,1,4,1,77000,94000
Niphad,Niphad,10.56,Black,7,NA,1,0,34,2.7,Well,3,3,0,542500,500000
Adgaon,Nashik,17.76,Black_Red_Mixed,5,Agricultural,1,1,93,28.4,Borewell,9,0,0,644500,655500
Deolali,Nashik,14.49,Black_Red_Mixed,8,Agricultural,0,1,51,18.2,River,1,4,0,461500,394000
Watane,Niphad,7.41,Black,9,Residential,0,0,77,11,River,7,3,0,561500,583000
Panchak,Nashik,24.12,Black,10,Commercial,0,0,62,15.6,Canal,2,0,0,3384500,3254500
Talegaon,Chandwad,21.86,Red,4,Agricultural,0,1,90,24.5,Borewell,9,0,0,77500,88000
Adgaon,Nashik,24.13,Black,9,Commercial,1,0,89,19.5,Borewell,8,3,0,2880000,2724000
Nandgaon,Chandwad,13.75,Black_Red_Mixed,7,Agricultural,0,1,99,23.9,Borewell,5,5,1,54500,48000
Sonaj,Yeola,15.3,Red,5,Agricultural,0,0,54,16.4,River,8,4,0,71000,68500
Nandur,Yeola,14.98,Black,7,Commercial,0,1,100,8,Canal,10,0,0,500000,431000
Umrane,Chandwad,7.95,Black_Red_Mixed,6,NA,1,0,24,12.7,Borewell,10,3,1,125500,132000
Kalwan,Chandwad,19.91,Red,3,Agricultural,1,1,72,10.8,Borewell,5,5,0,77000,66000
Tambepada,Niphad,2.82,Red,5,Agricultural,1,0,54,23.5,Borewell,3,2,0,241500,242000
Watane,Niphad,11.08,Black,8,Agricultural,1,1,75,1.6,Borewell,3,1,0,400000,342000
Khamgaon,Yeola,10.52,Black,8,Agricultural,1,0,69,29.9,None,3,3,0,67500,66000
Kherwadi,Sinnar,3.4,Red,3,Agricultural,1,0,27,24.8,None,1,0,0,116000,129500
Talegaon,Chandwad,3.42,Black,8,NA,1,0,51,25.9,Canal,1,2,1,154500,158500
Saptashringi,Chandwad,11.91,Black,10,Agricultural,1,1,57,6.7,Borewell,2,2,0,120000,112500
Wadangali,Sinnar,8.26,Black_Red_Mixed,8,Agricultural,1,1,43,16.3,None,4,1,0,167500,167000
Saikheda,Sinnar,8.78,Red,7,Agricultural,1,1,18,11.4,Borewell,10,1,0,251000,251500
Vinchur,Niphad,4.23,Black_Red_Mixed,5,Agricultural,0,0,20,25,River,6,2,0,185500,191500
Vani,Chandwad,22.47,Red,5,Agricultural,0,1,98,5.9,Borewell,2,3,0,81000,73000
Saundane,Niphad,6.84,Black_Red_Mixed,7,NA,1,1,59,27.8,River,7,1,0,666000,693500
Ambad,Nashik,2.78,Black,8,Agricultural,0,1,71,20.8,Borewell,8,2,0,501500,406500
Mohadi,Chandwad,18.1,Black,7,Agricultural,0,0,32,4,None,8,0,0,56500,54000
Adgaon,Nashik,24.7,Black_Red_Mixed,6,Residential,1,1,20,24.4,Canal,8,5,0,1285500,1241500
Vani,Chandwad,1.95,Black,8,Agricultural,1,1,88,27.9,Canal,1,3,1,89000,93000
Pathardi,Nashik,3.36,Black_Red_Mixed,5,Residential,0,1,98,25.9,Borewell,1,0,0,1480500,1483000
Chandwad,Chandwad,23.9,Red,6,Agricultural,1,0,15,9.4,Well,7,3,0,74000,66500
Peth,Nashik,2.45,Black,9,Agricultural,1,0,68,23.2,River,4,4,1,436500,406500
Yeola,Yeola,4.37,Red,4,Agricultural,1,1,12,14.8,None,10,5,0,58500,59500
Kotamgaon,Nashik,19.91,Black,8,NA,1,1,80,17,Borewell,4,0,0,1452500,1444500
Tarsa,Sinnar,8.73,Black,10,Agricultural,1,1,18,28.5,Well,9,2,0,224000,215000
Ambad,Nashik,14.06,Black,8,NA,0,0,83,24,Borewell,5,4,0,758000,732500
Nandur,Nashik,19.51,Red,5,Agricultural,0,1,32,3.6,Well,3,4,0,424000,444500
Vinchur,Niphad,9.64,Black,7,Agricultural,1,0,39,27.1,Borewell,7,2,0,255500,246000
Vinchur,Niphad,5.49,Black_Red_Mixed,7,Agricultural,1,1,28,26.9,River,2,1,0,326500,324500
Yeola,Yeola,20.65,Red,6,NA,1,0,89,28.9,Well,1,1,1,162500,187000
Kherwadi,Sinnar,6.57,Black_Red_Mixed,6,Agricultural,1,1,37,16.9,River,2,5,0,193500,174000
Kherwadi,Sinnar,13.84,Black,7,Agricultural,1,1,51,0.5,Borewell,9,2,0,308500,268500
Savargaon,Chandwad,0.52,Black,7,Agricultural,1,0,27,13.9,Canal,7,5,0,78500,83000
Pimpalgaon Baswant,Niphad,23.17,Black_Red_Mixed,6,Agricultural,1,1,49,8.1,Well,6,0,0,333000,317000
Kelzar,Chandwad,15.16,Black,7,Agricultural,0,1,41,16.4,Well,5,2,0,71000,69500
Vinchur,Niphad,3.71,Red,7,NA,1,1,36,2.5,None,6,4,0,431500,408000
Khambale,Sinnar,15.54,Black,8,NA,0,1,31,21.6,None,2,3,0,255500,251000
Kelzar,Chandwad,11.11,Red,6,Residential,0,1,80,5,River,8,2,0,217500,242000
Chandwad,Chandwad,15.06,Red,6,Agricultural,0,1,84,19.8,Borewell,10,2,0,76500,81000
Shirasgaon,Yeola,2.5,Black,8,Agricultural,0,0,97,29.9,Well,5,3,0,75000,79500
Deolali,Nashik,10.8,Black_Red_Mixed,8,Agricultural,0,1,44,15.5,Borewell,2,4,0,446000,402000
Savargaon,Chandwad,23.82,Red,6,Agricultural,1,1,50,29.4,Borewell,7,5,0,78500,72000
Talegaon,Chandwad,21.04,Red,5,Agricultural,0,1,86,8.6,Well,6,4,1,54000,43500
Manur,Yeola,11.7,Black,9,Residential,1,1,84,4.6,River,9,5,1,232500,219500
Khamgaon,Yeola,21.94,Black_Red_Mixed,5,Agricultural,1,1,33,16,Borewell,5,5,0,95000,101500
Mhasrul,Nashik,18.73,Black_Red_Mixed,7,Residential,1,1,39,19.6,Borewell,3,3,1,1171000,1213500
Yeola,Yeola,1.37,Red,5,Agricultural,1,0,10,26.6,Well,10,1,0,88000,86500
Waghad,Nashik,12.94,Black,9,Agricultural,1,1,86,0.8,Well,5,1,1,717500,716500
Ozar,Nashik,13.19,Black_Red_Mixed,7,Agricultural,0,1,43,0.3,Canal,9,3,0,649000,617500
Chandanpuri,Sinnar,21.22,Black,10,NA,1,0,24,28.1,Borewell,10,0,0,540500,548000
Pimpalgaon Khamb,Nashik,7.23,Black,10,Residential,1,0,89,20.8,None,5,3,0,937000,987000
Tarsa,Sinnar,2.79,Black,8,Residential,1,1,69,26.4,None,8,3,0,330000,292500
Adgaon,Nashik,19.52,Black,10,Residential,1,1,53,24.8,Borewell,8,0,0,1893000,1932500
Satpur,Nashik,16.41,Black_Red_Mixed,5,Commercial,1,1,57,29.7,Borewell,2,3,0,2769000,2949500
Tarsa,Sinnar,12.39,Black,10,NA,0,1,32,9.8,Borewell,2,0,0,528500,513000
Talegaon,Chandwad,13.21,Black_Red_Mixed,7,NA,1,0,16,2.6,River,1,0,0,233000,244500
Shedbol,Yeola,6.64,Black_Red_Mixed,7,NA,1,0,85,26.1,Borewell,3,1,0,225500,270000
Palkhed,Niphad,4.53,Black,8,Agricultural,1,1,75,29.1,River,1,4,0,298000,296000
Chandanpuri,Sinnar,11.35,Black_Red_Mixed,8,NA,0,0,96,9.4,Well,3,3,0,351000,360500
Karanjwan,Niphad,20.64,Black_Red_Mixed,8,Agricultural,1,0,10,14.6,Canal,10,3,0,277000,262500
Vithapur,Yeola,17.59,Black_Red_Mixed,8,Commercial,1,1,98,7.3,River,5,5,0,445000,450500
Ozar,Nashik,23.66,Red,3,Agricultural,1,1,98,6.1,Canal,6,3,0,642500,663000
Nandur Madhyameshwar,Sinnar,23.92,Black_Red_Mixed,7,Agricultural,1,1,35,12.7,Borewell,7,4,1,174000,176500
Kadwa,Yeola,15.54,Black,9,Residential,1,0,46,13.7,Borewell,4,3,0,224500,208500
Niphad,Niphad,20.95,Black_Red_Mixed,6,Agricultural,1,0,97,0.6,Canal,3,4,0,342500,347500
Watane,Niphad,18.34,Black_Red_Mixed,7,Agricultural,1,0,88,4.5,Borewell,3,0,0,363500,400000
Devdhari,Sinnar,15.68,Black,9,Residential,1,1,32,21.5,Borewell,3,3,0,508500,524500
Gangapur,Nashik,6.88,Red,6,Residential,1,1,92,20.1,Borewell,9,4,0,1357500,1449000
Dwarka,Nashik,24.77,Black,8,Agricultural,1,1,64,22.7,None,2,4,0,373000,367000
Deolali,Nashik,12.83,Black,10,Agricultural,1,1,40,19.3,Well,6,5,1,427000,449500
Vani,Chandwad,19.53,Black,9,Residential,0,0,71,0.9,Borewell,5,4,1,168500,172000
Mohadi,Chandwad,24.78,Red,5,Agricultural,0,1,97,25.8,Borewell,4,3,0,69000,64500
Deher,Chandwad,16.28,Black_Red_Mixed,8,Residential,1,0,16,22.6,None,1,3,0,107000,109500
Chandrapur,Yeola,6.35,Black_Red_Mixed,8,Agricultural,1,1,58,14.5,Well,9,2,0,121500,113000
Kotamgaon,Nashik,23.89,Black_Red_Mixed,7,Agricultural,0,0,38,15.1,Well,10,0,0,417000,398500
Jategaon,Sinnar,22.88,Black,7,Agricultural,1,0,68,11.5,Borewell,10,1,0,226000,229000
Dhodambe,Yeola,3.22,Black_Red_Mixed,5,Agricultural,1,0,79,1.2,Canal,10,2,0,142000,145000
Gangapur,Nashik,18.92,Black,7,Residential,1,1,67,4.6,Borewell,1,0,0,1985500,1820000
Trimbak Road,Nashik,8.49,Black,10,Residential,1,1,15,26.7,Well,5,2,0,1497500,1608000
Wavi,Sinnar,19.81,Black_Red_Mixed,5,Residential,1,0,61,14.7,Well,9,0,0,417500,434000
Nimgaon,Yeola,24.61,Black_Red_Mixed,6,Agricultural,1,0,11,16.8,Borewell,2,4,0,87500,83000
Savargaon,Chandwad,17.74,Red,3,Commercial,0,1,17,23.3,Borewell,1,1,0,277500,247500
Ambad,Nashik,20.72,Black,8,Agricultural,1,1,98,1,River,9,4,0,800000,792000
Talegaon,Chandwad,2.93,Black_Red_Mixed,8,Residential,1,1,69,6.9,Canal,10,1,1,221500,214500
Deolali,Nashik,15.64,Black,8,Residential,1,1,79,11.9,None,2,5,0,913000,920000
Abhona,Niphad,23.79,Red,7,Agricultural,0,0,38,16.3,None,10,0,1,121000,118000
Chandrapur,Yeola,9.97,Black,10,NA,1,1,42,8.2,Borewell,2,0,0,300000,258000
Chandori,Niphad,8.74,Black_Red_Mixed,8,Residential,0,1,68,6.9,River,9,5,0,581000,565000
Trimbak Road,Nashik,12.7,Black,8,Agricultural,0,1,33,14.6,None,6,1,0,344000,336500
Dwarka,Nashik,12.31,Red,4,Agricultural,1,1,38,8.7,River,7,1,0,651500,680500
Ozar,Nashik,18.99,Red,6,Agricultural,1,0,83,15.3,Borewell,1,2,0,539000,512500
Saptashringi,Chandwad,22.98,Black,10,Agricultural,1,0,58,23.8,Borewell,9,3,0,90000,100500
Malegaon,Sinnar,2.57,Black_Red_Mixed,8,Residential,1,1,73,14.5,Borewell,1,2,0,548500,475000
Yeola,Yeola,22.87,Red,3,Agricultural,0,0,99,14.2,Borewell,2,4,1,54500,59500
Thengode,Niphad,5.28,Black_Red_Mixed,5,NA,1,1,36,27.4,Borewell,1,5,0,454500,447500
Wadangali,Sinnar,15.72,Black,10,Commercial,0,0,57,8,Canal,5,2,1,727500,771500
Thergaon,Chandwad,13.09,Black_Red_Mixed,6,Agricultural,1,1,97,13.8,River,8,2,0,109000,109500
Talegaon,Chandwad,9.84,Black_Red_Mixed,7,Agricultural,0,1,25,6.6,Well,9,1,0,82500,89000
Waghad,Nashik,3.49,Red,7,Residential,1,0,13,16.4,Canal,8,4,0,1218000,1185000
Mhasrul,Niphad,24.57,Black,7,Commercial,1,0,81,3.4,Well,2,0,0,1195500,1103500
Pimpalgaon Dohe,Chandwad,4.47,Black,7,NA,0,1,74,26,Borewell,8,5,0,128000,140500
Khambale,Sinnar,6.54,Black_Red_Mixed,5,Residential,1,1,17,1.4,Borewell,1,4,1,428000,424500
Khambale,Sinnar,19.11,Black,9,Agricultural,1,1,65,27.4,Canal,9,1,0,285000,289500
Borgaon,Chandwad,4.44,Black_Red_Mixed,5,NA,0,1,54,2.5,Well,9,2,0,159500,173500
Ambad,Nashik,17.9,Black_Red_Mixed,8,NA,1,1,81,8.8,Well,10,1,0,1346000,1249000
Kadwa,Yeola,24.8,Black_Red_Mixed,7,Agricultural,1,0,82,7.9,Well,7,4,0,98500,102500
Jategaon,Sinnar,21.23,Black_Red_Mixed,5,Commercial,0,1,56,26,Canal,10,4,0,720500,690500
Karanjwan,Niphad,11.95,Black_Red_Mixed,7,Agricultural,1,1,41,26.8,River,3,1,1,271000,268500
Abhona,Niphad,22.04,Black_Red_Mixed,7,Commercial,1,0,11,13.6,Well,3,2,0,859500,864000
Ozar,Nashik,3.93,Black_Red_Mixed,8,NA,1,1,66,9.6,Borewell,4,4,0,1211000,1084000
Nandur,Nashik,18.93,Black_Red_Mixed,7,Agricultural,1,1,14,13.8,Well,3,1,0,595000,562500
Umrane,Yeola,9.91,Black_Red_Mixed,6,Agricultural,0,1,55,9.2,Borewell,3,4,0,89000,97500
Deher,Chandwad,9.71,Black,9,Residential,0,1,91,8.2,Borewell,3,4,0,197500,210000
Nandur,Nashik,1.09,Black,8,Commercial,1,0,72,23.2,None,9,5,0,1565000,1558000
Adgaon,Nashik,23.16,Black_Red_Mixed,7,Agricultural,1,0,10,19.9,River,5,1,0,555000,564500
Malegaon,Sinnar,9.52,Black,10,Agricultural,1,0,14,16.3,River,6,3,0,213000,208500
Pale,Sinnar,11.31,Black_Red_Mixed,8,Agricultural,0,1,77,16.1,Canal,8,2,1,172500,189000
Mungse,Sinnar,5.06,Black_Red_Mixed,8,Commercial,1,1,64,21.4,Canal,1,4,0,901500,889000
Darna,Niphad,13.84,Red,7,NA,0,1,70,5.9,Borewell,8,5,0,448500,456000
Mungse,Sinnar,7.51,Black_Red_Mixed,8,Commercial,1,1,76,23.1,River,6,4,0,875000,945000
Tarsa,Sinnar,13.62,Black,10,Agricultural,1,0,31,25.6,River,5,0,1,202500,191500
Karanjwan,Niphad,10.79,Black,10,Agricultural,0,1,59,4.9,Well,10,4,0,255500,283500
Chandanpuri,Sinnar,3.36,Red,7,Agricultural,0,1,60,7.2,Borewell,5,5,1,138000,123000
Pimpalgaon Baswant,Niphad,15.96,Black_Red_Mixed,6,Residential,0,1,98,24.6,Borewell,9,1,0,611500,681500
Satpur,Nashik,6.77,Black,8,Agricultural,0,1,83,20.6,Canal,3,5,0,460000,448000
Saptashringi,Chandwad,10.88,Black,9,Agricultural,1,1,21,1.1,Borewell,3,4,1,100000,98500
Niphad,Niphad,5.33,Black,10,Agricultural,1,1,11,15.3,Canal,7,2,0,369500,320500
Jategaon,Sinnar,22.35,Black,8,Commercial,1,1,54,0.2,None,10,2,1,681000,659500
Lasalgaon,Niphad,19.01,Black,7,Agricultural,0,0,51,29.6,None,3,3,0,122500,113500
Devdhari,Sinnar,18.7,Red,6,Agricultural,0,1,34,6.5,Borewell,1,3,1,148500,142000
Kasbe Sukene,Niphad,11.66,Red,5,Agricultural,0,0,81,27.3,Borewell,2,3,0,179500,178000
Bhojapur,Niphad,19.04,Red,3,Commercial,1,0,50,25.6,Borewell,10,3,0,775000,827000
Watane,Niphad,7.35,Black_Red_Mixed,6,Agricultural,0,0,45,16.9,River,7,4,0,182500,185000
Kherwadi,Sinnar,15.34,Black_Red_Mixed,6,Commercial,0,1,14,4.9,Canal,10,3,0,855500,874000
Peth,Nashik,16.47,Red,3,Agricultural,1,1,82,24.3,Borewell,10,5,0,441000,407000
Ozar,Niphad,22.16,Black,9,Agricultural,0,1,59,11,Canal,8,0,0,332500,312000
Umrane,Chandwad,24.27,Black,7,Agricultural,0,1,10,4.2,Canal,4,4,0,86000,97000
Ozar,Nashik,2.05,Red,6,Agricultural,0,0,28,28.7,Borewell,1,0,0,413500,392000
Wavi,Sinnar,11.92,Black,7,Residential,1,1,50,9.1,Well,6,5,0,409500,457000
Pimpri,Yeola,20.37,Black,7,Commercial,1,1,46,24.2,Well,1,2,1,330000,324500
Mhasrul,Nashik,15.11,Black,8,NA,1,1,83,25.1,Well,1,3,0,1111500,1111500
Malegaon,Sinnar,3.76,Black,8,Commercial,1,1,94,26.6,Borewell,6,5,0,799000,859000
Kotamgaon,Nashik,0.82,Black,8,NA,1,1,26,13.9,Borewell,3,2,0,1260500,1372500
Shirsathe,Sinnar,21.1,Black,8,Agricultural,1,1,30,26,Well,7,1,0,223500,222000
Tambepada,Niphad,22.56,Black_Red_Mixed,6,Residential,0,0,43,26.9,Well,7,3,0,404500,393500
Yeola,Yeola,6.41,Black,9,Residential,1,0,50,20.9,Borewell,10,3,0,221500,220500
Chandori,Niphad,17.38,Black,9,Agricultural,0,1,84,16.2,River,10,1,1,243500,249500
Darna,Niphad,21.01,Black_Red_Mixed,5,Residential,1,1,61,15.2,Canal,7,2,0,652000,692500
Pandavleni,Sinnar,4.28,Black,10,Agricultural,1,1,56,20.8,River,5,2,1,222000,222000
Malegaon,Sinnar,12.47,Black,8,Agricultural,1,1,66,9.4,Borewell,3,1,0,280500,292500
Girnare,Nashik,24.03,Black,8,Agricultural,0,0,80,13.6,Canal,3,5,0,410000,457000
Mangi,Chandwad,16.7,Black_Red_Mixed,8,Agricultural,0,0,16,8.8,Borewell,7,5,1,49500,51000
Adgaon,Nashik,24.87,Red,5,NA,0,1,35,19,None,8,5,0,461500,471500
Thengode,Niphad,8.18,Black_Red_Mixed,6,Agricultural,1,1,48,27.7,Canal,7,4,0,280000,250000
Bhojapur,Niphad,14.36,Black,7,NA,1,1,51,30,None,5,5,0,326000,266000
Tarsa,Sinnar,16.03,Black,8,Agricultural,1,0,12,13.9,Borewell,7,0,0,226500,232500
Sonaj,Yeola,9.25,Black,10,Commercial,1,1,25,16.9,Well,10,3,1,343000,340500
Bhojapur,Niphad,13.31,Black,10,Agricultural,1,1,85,13.7,Borewell,2,5,0,308000,297000
Mhasrul,Nashik,16.13,Black,10,Agricultural,1,0,59,1.6,Canal,2,0,0,800000,800000
Umrane,Yeola,10.58,Black,9,Agricultural,1,1,80,23.6,River,2,4,1,103000,102500
Ozar,Nashik,2.32,Black_Red_Mixed,6,NA,0,1,14,28.2,Canal,4,1,0,981500,1059000
Girnare,Nashik,20.84,Black,8,Agricultural,0,1,48,15.3,Canal,1,2,0,548500,552000
Mhasrul,Nashik,24.85,Red,6,Agricultural,1,1,92,19.7,River,7,1,0,680500,645000
Palkhed,Niphad,13.24,Black,10,Residential,1,1,73,16.1,None,6,0,0,531000,568000
Anandwalli,Nashik,9.2,Black,7,Agricultural,0,1,66,0.2,None,10,3,0,399500,393500
Vithapur,Yeola,9.11,Red,3,Commercial,0,0,62,7.7,None,2,5,0,175000,181500
Pandavleni,Sinnar,15.84,Black,10,Agricultural,0,0,52,27.1,None,10,2,0,109000,105500
Kasbe Sukene,Niphad,20.81,Red,6,Residential,1,1,54,20,Canal,6,4,0,593000,566000
Vadner,Niphad,11.23,Black_Red_Mixed,8,NA,0,1,16,12.8,Well,8,1,0,466000,468500
Mhasrul,Nashik,18.84,Black_Red_Mixed,7,Agricultural,0,1,25,21.4,Canal,7,3,0,473000,473500
Wadivarhe,Sinnar,18.38,Black,8,Agricultural,0,0,35,25,Well,1,5,0,116500,120500
Trimbak Road,Nashik,11.25,Black_Red_Mixed,7,Commercial,0,0,40,10.2,Canal,10,3,0,2569500,2521000
Pimpalgaon Khamb,Nashik,10.63,Black_Red_Mixed,6,Agricultural,1,1,38,10.2,Borewell,3,3,1,488500,425500
Nandur,Nashik,16.08,Black,8,Agricultural,1,0,71,26.6,Well,8,5,0,419000,406500
Shirasgaon,Yeola,4.28,Red,4,Commercial,1,0,49,0.5,Borewell,5,1,1,390500,412000
Kalwan,Chandwad,5.85,Red,6,NA,1,1,36,10.8,Borewell,1,1,0,207000,202500
Umbarkhed,Sinnar,6.19,Black,10,Agricultural,0,1,62,26.2,Canal,10,2,0,215000,211500
Malegaon,Sinnar,13.66,Red,3,Residential,1,1,47,24.1,River,4,5,0,371000,396500
Kotamgaon,Nashik,4.95,Red,7,Agricultural,1,1,21,15.2,Canal,7,0,0,743000,706000
Adgaon,Nashik,6.29,Black,7,NA,0,0,24,11.4,Borewell,10,3,0,763000,680500
Kadwa,Yeola,16.76,Black,9,Residential,1,1,92,8.2,Well,6,0,1,254000,251000
Pimpri Kadu,Chandwad,12.19,Black_Red_Mixed,7,Commercial,1,1,38,10.5,Borewell,4,2,1,295000,285000
Panchak,Nashik,5.6,Black,9,Agricultural,0,1,78,4.7,River,4,0,0,721000,672000
Borgaon,Chandwad,10.18,Black,10,Agricultural,1,1,95,22.9,Borewell,5,4,1,84500,83500
Wadangali,Sinnar,19.4,Black,7,Agricultural,1,1,59,17.5,River,4,4,0,219000,226500
Dwarka,Nashik,21.23,Black,9,NA,0,1,37,22.6,Canal,3,4,0,954000,953500
Vani,Chandwad,19.07,Black,10,NA,1,1,43,26.6,Borewell,8,4,1,158000,161500
Shedbol,Yeola,5.19,Black,7,Agricultural,1,1,42,7.6,Borewell,9,1,0,144500,150000
Wadivarhe,Sinnar,12.73,Red,3,Residential,0,1,81,20.2,Borewell,1,2,0,402000,392500
Palkhed,Niphad,14.68,Red,7,NA,1,1,78,19,Canal,2,0,1,618000,630000
Nandur,Nashik,2.23,Black,10,Agricultural,0,0,31,25.1,Canal,6,4,0,422000,407000
Karanjkhed,Yeola,16.33,Black,7,Agricultural,0,1,45,6.8,Borewell,10,0,0,119000,112000
Panchak,Nashik,23.24,Black,7,Residential,0,1,29,16.3,Well,10,4,0,1113000,1067500
Thergaon,Chandwad,22.55,Black_Red_Mixed,6,Agricultural,0,1,11,16.7,Well,1,2,1,54000,52000
Borwadi,Yeola,9.14,Black_Red_Mixed,5,Commercial,0,1,59,8.2,River,9,1,0,433000,444000
Pimpalgaon Khamb,Nashik,7.18,Black_Red_Mixed,8,Agricultural,1,0,63,8.5,River,9,5,1,437000,509000
Vadner,Niphad,2.24,Black,10,Agricultural,1,1,73,1.4,Well,8,1,0,400000,380000
Abhona,Niphad,17.87,Red,6,Agricultural,0,1,76,23.9,Canal,1,5,0,209000,203000
Thengode,Niphad,4.25,Black_Red_Mixed,7,Agricultural,1,1,73,28.9,River,1,4,0,286000,284500
Pathardi,Nashik,9.54,Black_Red_Mixed,6,Commercial,1,1,90,10.6,River,2,3,1,2620000,2692500
Chinchpada,Sinnar,22.97,Black_Red_Mixed,8,Agricultural,0,1,49,18.6,River,4,4,0,172500,175500
Nandur,Nashik,23.32,Red,7,NA,0,1,41,23.6,None,7,0,0,665000,725000
Nimgaon,Yeola,24.61,Red,4,Residential,1,1,77,0.4,Borewell,2,3,0,296000,245500
Waghad,Nashik,22.04,Black,9,Commercial,1,1,15,7.6,Well,5,2,0,3184000,2652000
Adgaon,Nashik,17.34,Black_Red_Mixed,6,Agricultural,1,1,24,6.3,Canal,3,1,0,759000,732500
Saundane,Niphad,24.21,Black,7,Agricultural,1,1,83,16.5,Borewell,1,2,0,324000,349000
Mhasrul,Nashik,12.59,Black,7,Agricultural,0,1,99,17.1,None,4,5,0,274000,244000
Peth,Nashik,15.03,Black,8,NA,1,0,29,26.7,Borewell,4,3,0,983000,776000
Kotamgaon,Nashik,22.09,Black_Red_Mixed,7,Agricultural,1,1,47,18.1,Borewell,2,1,0,655000,681000
Kherwadi,Sinnar,21.86,Black_Red_Mixed,8,Residential,1,1,28,23.2,Canal,2,1,0,592000,600000
Kherwadi,Sinnar,23.51,Black_Red_Mixed,6,Commercial,1,1,35,28.3,Well,5,5,1,522500,482500
Vadgaon,Nashik,2.14,Black,9,Residential,1,1,50,16.1,Canal,2,0,0,2006000,1867500
Mohadi,Chandwad,7.39,Red,7,Agricultural,1,0,89,14.8,Canal,6,5,0,83500,78000
Kalwan,Chandwad,16.2,Black,7,Commercial,0,1,86,23.8,Canal,1,3,0,342000,344500
Vinchur,Niphad,16.43,Red,6,Agricultural,1,1,14,2.8,None,5,2,0,231500,221500
Chinchpada,Sinnar,5.29,Red,5,Agricultural,0,1,27,8.1,River,2,3,0,175500,181500
Malegaon,Sinnar,18.78,Black,8,NA,1,1,20,1.8,Borewell,8,0,0,600000,480000
Saundane,Niphad,16.12,Black_Red_Mixed,8,Residential,1,0,40,29.1,None,1,5,0,302000,284000
Saundane,Niphad,3.82,Black,10,Agricultural,0,1,30,12.8,Canal,5,0,1,269500,248500
Ozar,Nashik,19.74,Red,7,NA,0,1,64,19,Well,3,4,1,630500,619000
Niphad,Niphad,7.71,Red,6,Agricultural,1,1,17,28.5,Canal,5,0,0,339500,326500
Vinchur,Niphad,8.77,Black_Red_Mixed,6,Agricultural,1,0,71,12.5,Borewell,6,0,0,302500,319500
Mhasrul,Niphad,12.97,Red,5,NA,1,0,56,8.3,Canal,6,0,0,629500,547500
Jategaon,Sinnar,18.58,Black_Red_Mixed,5,Agricultural,1,1,26,24.2,River,8,1,1,185500,186000
Thergaon,Chandwad,14.08,Red,5,Commercial,1,0,76,26.2,Borewell,4,1,0,303000,315000
Deolali,Nashik,21.58,Black_Red_Mixed,5,Agricultural,1,1,13,4.3,River,6,4,0,607500,686500
Nashik Road,Nashik,11.06,Black_Red_Mixed,5,Residential,1,1,16,26.8,None,9,1,0,932000,900500
Harsul,Chandwad,6.78,Black,9,Agricultural,1,0,48,17.6,Borewell,9,4,0,83000,85000
Peth,Nashik,16.69,Black_Red_Mixed,7,NA,1,1,35,29.7,Borewell,1,1,1,1022000,893000
Karanjwan,Niphad,13.8,Black,7,Agricultural,1,1,53,0.2,None,3,4,0,241500,201000
Talegaon,Chandwad,16.67,Black_Red_Mixed,7,NA,1,1,42,23.2,Well,4,1,0,187000,198000
Kasarwadi,Niphad,21.83,Black_Red_Mixed,8,Residential,1,1,80,10.3,Canal,3,1,0,800000,799500
Chandanpuri,Sinnar,4.95,Black_Red_Mixed,8,Commercial,1,1,99,4.7,Canal,2,1,1,1017500,1101500
Nagarsul,Chandwad,10.06,Black,8,NA,1,1,42,13.1,Canal,1,0,0,250000,226000
Kasbe Sukene,Niphad,14.84,Black_Red_Mixed,6,Agricultural,0,1,19,24.1,Canal,1,0,0,263500,273000
